AA	Aa	properNoun
AAB	Aab	properNoun
AABEF	Aabef	properNoun
AAC	Aac	properNoun
AAE	Aae	properNoun
aaleniano	aalenian	properNoun
Aarab	Aarab	properNoun
Aarão	Aaron	properNoun
a	at	preposition
abacate	alligator pear	noun
abacate	avocado	None
abacate	avocado	noun
Abad	Abad	properNoun
Abadal	Abadal	properNoun
abade	abbot	None
abade	abbot	noun
abade	prelate	noun
abadia	abbacy	noun
Abadia	abbacy	noun
Abadía	abbacy	noun
abadia	abbey	None
Abadia	Abbey	None
Abadía	Abbey	None
abadia	abbey	noun
Abadia	abbey	noun
Abadía	abbey	noun
Abadías	Abad	None
Abadias	abbacy	noun
Abadías	abbacy	noun
Abadias	abbey	noun
Abadías	abbey	noun
Abadias	Abws	None
abaixo	bellow	None
abaixo	below	adverb
abaixo	below	preposition
abaixo	beneath	adverb
abaixo	beneath	preposition
abaixo de	below	adverb
abaixo de	below	None
abaixo	down	adverb
abaixo	downhill	adverb
abaixo	down	preposition
abaixo	downwards	adverb
abaixo	thereunder	adverb
abaixo	underneath	adverb
abajur	bedside lamp	None
abajur	lampshade	noun
abajur	table lamp	noun
abalar	affect	verb
abalar	concuss	verb
abalar	convulse	verb
abalar	depolarise	verb
abalar	jar	verb
abalar	jolt	verb
abalar	scamper	verb
abalar	shake	None
abalar	shake	verb
abalar	shock	verb
abalar	toss	verb
abalar	unfix	verb
abalar	unsettle	verb
Ábalos	Abalos	None
Ábalos	concussion	noun
Ábalos	convulsion	noun
Ábalos	emotion	noun
Ábalos	impression	noun
Ábalos	jump	noun
Ábalos	quake	noun
Ábalos	seism	noun
Ábalos	shake	noun
Ábalos	shock	noun
abandonamento	abandonment	properNoun
abandonar	abandon	verb
abandonar	cast off	verb
abandonar	flee	verb
abandonar	forsake	verb
abandonar	give up	verb
abandonar	jettison	verb
abandonar	leave	verb
abandonar	off	verb
abandonar	quit	verb
abandonar	relinquish	verb
abandonar	renounce	verb
abandonar	to abandon	None
abandonar	vacate	verb
abandono	abandonment	None
abandono	abandonment	noun
abandono	abandon	noun
abandono	dereliction	noun
abandono	desertion	noun
abandono	lurch	noun
abandono	neglect	noun
abandono	quitclaim	noun
abandono	renouncement	noun
abandono	renunciation	noun
abandono	resignation	noun
abandono	waiver	noun
Abarca	Abarcetize	properNoun
abarcar	cover	properNoun
abarrotado	chock-full	adjective
abarrotado	crammed	adjective
abarrotado	crowded	adjective
abarrotado	crowded	None
abarrotado	overcrowded	adjective
Abás	Abás	None
Abas	Basque	noun
Abás	Basque	noun
Abas	brim	noun
Abás	brim	noun
Abascal	Abascal	properNoun
Abas	coast	noun
Abás	coast	noun
Abas	edge	noun
Abás	edge	noun
Abas	flap	noun
Abás	flap	noun
Abas	foot	noun
Abás	foot	noun
Abas	lap	noun
Abás	lap	noun
Abas	lappet	noun
Abás	lappet	noun
Abas	lip	noun
Abás	lip	noun
Abasolo	Shaft	properNoun
Abas	rim	noun
Abás	rim	noun
Abas	shoulder	noun
Abás	shoulder	noun
abássida	abandoned	properNoun
Abas	Tab	None
Abas	tab	noun
Abás	tab	noun
Abas	tail	noun
Abás	tail	noun
abastamento	flip	properNoun
abastecer	bunker	verb
abastecer	feed	verb
abastecer	fill up	verb
abastecer	fuel	verb
abastecer	provide	verb
abastecer	provision	verb
abastecer	refuel	verb
abastecer	stock	verb
abastecer	store	verb
abastecer	supply	verb
abastecer	to fuel	None
abastecer	victual	verb
abastecimento	fill	noun
abastecimento	provision	noun
abastecimento	purveyance	noun
abastecimento	refuelling	noun
abastecimento	store	noun
abastecimento	supplies	noun
abastecimento	supply	None
abastecimento	supply	noun
abastecimento	victualling	noun
Abate	abate	verb
Abate	depress	verb
Abate	discount	verb
Abate	down	verb
Abate	fell	verb
Abate	knock down	verb
Abate	lower	verb
abater	abate	verb
abater	depress	verb
abater	discount	verb
abater	down	verb
Abate	reduce	verb
abater	fell	verb
abater	knock down	verb
abater	lower	verb
abater	reduce	verb
abater	shoot down	None
abater	shoot down	verb
abater	slaughter	verb
abater	unman	verb
Abaterusso	Abate	properNoun
abater	weaken	verb
Abate	shoot down	verb
Abate	Slaughter	None
Abate	slaughter	verb
Abate	unman	verb
Abate	weaken	verb
Abati	Abatate	None
Abati	abate	verb
Abati	depress	verb
Abati	discount	verb
Abati	down	verb
Abati	fell	verb
Abati	knock down	verb
Abati	lower	verb
abatimento	abasement	noun
abatimento	abatement	None
abatimento	chill	noun
abatimento	dejection	noun
abatimento	depression	noun
abatimento	despondency	noun
abatimento	discount	noun
abatimento	heaviness	noun
abatimento	languor	noun
abatimento	prostration	noun
abatimento	rebate	noun
abatimento	reduction	noun
abatimento	weakness	noun
Abati	reduce	verb
Abati	shoot down	verb
Abati	slaughter	verb
Abati	unman	verb
Abati	weaken	verb
Abbado	Abbado	properNoun
Abbas	Abbas	properNoun
Abbatangelo	Abbatangelo	properNoun
Abbate	Abbate	properNoun
Abbatucci	Abbatucci	properNoun
Abbiati	Abbiati	properNoun
Abbondanza	Abbondanza	properNoun
Abbondanzieri	Abbondanzieri	properNoun
Abbott	Abbott	properNoun
Abboud	Abboud	properNoun
Abbrescia	Abbrish	properNoun
Abbruzzese	Abbruzz	properNoun
ABC	ABC	None
ABC	ABC	noun
ABC	alphabet	noun
Abdallah	Abdallah	properNoun
Abdel	Abdel	properNoun
Abdias	Abdiah	properNoun
abdicar	abdicate	None
abdicar	abdicate	verb
abdicar	demit	verb
Abdo	Abdo	properNoun
abdominal	abdominal	adjective
abdominal	abdominal	None
abdominal	ventral	adjective
Abdon	Abdon	properNoun
Abdrazakov	Abdrazakov	properNoun
abdução	abduction	None
abdução	abduction	noun
abducente	abducent	adjective
abducente	abducent	None
Abe	Abe	properNoun
Abebe	The baby	properNoun
Abecassis	Abecassis	properNoun
Abécassis	Abecassis	properNoun
abecedário	ABC	noun
abecedário	abecedarian	adjective
abecedário	abecedarian	None
abecedário	alphabet	noun
à beira de	at the brink of	preposition
à beira de	on the brink of	preposition
à beira de	on the verge of	None
à beira de	on the verge of	preposition
Abel	Abel	properNoun
Abelardo	Abelary	properNoun
Abella	Abella	properNoun
Abella de la Conca	Abella de la Conca	properNoun
Abellán	Abelláan	properNoun
Abellard	Abellard	properNoun
Abelleira	Abellag	properNoun
Abelli	Abelli	properNoun
Abelló	Abelló	properNoun
Abelson	Abelson	properNoun
abençoar	bless	verb
abençoar	to bless	None
Abengoa	Abengoa	properNoun
Abenza	Aben	properNoun
Aberasturi	Aberturi	properNoun
aberração	aberrance	noun
aberração	aberration	None
aberração	aberration	noun
aberração	freak	noun
aberração	warp	noun
aberrante	aberrant	adjective
aberrante	aberrant	None
Aberta	break	noun
Aberta	glade	noun
abertamente	barely	adverb
abertamente	openly	adverb
abertamente	openly	None
abertamente	outright	adverb
abertamente	over the counter	adverb
abertamente	professedly	adverb
abertamente	unreservedly	adverb
Aberta	opening	noun
Aberta	Open	None
aberto	frank	adjective
aberto	gaping	adjective
aberto	ingenuous	adjective
aberto	inlet	adjective
aberto	naked	adjective
aberto	open	adjective
aberto	open-hearted	adjective
aberto	open	None
aberto	outspread	adjective
aberto	outstretched	adjective
aberto	patent	adjective
aberto	pervious	adjective
aberto	plainspoken	adjective
aberto	staring	adjective
aberto	unclosed	adjective
aberto	unobstructed	adjective
abertura	access	noun
abertura	aperture	noun
abertura	breach	noun
abertura	gap	noun
abertura	hole	noun
abertura	opening	None
abertura	opening	noun
abertura	openness	noun
abertura	overture	noun
abertura	slit	noun
abertura	slot	noun
abertura	vent	noun
abertura	window	noun
abeto	fir	None
abeto	fir	noun
Abi-Ackel	Abi-ackel	properNoun
Abidal	Abidal	properNoun
Abílio	Abilision	properNoun
abiótico	abiotic	adjective
abiótico	abiotic	None
abirritante	abbrementing	properNoun
abismal	abysmal	adjective
abismal	abysmal	None
abismal	abyssal	adjective
abismal	fathomless	adjective
abismo	abysm	noun
abismo	abyss	None
abismo	abyss	noun
abismo	chasm	noun
abismo	deep	noun
abismo	depths	noun
abismo	gulf	noun
abismo	pit	noun
abismo	precipice	noun
abismo	yawn	noun
abissal	abyssal	adjective
abissal	abyssal	None
Abitbol	Abitbol	properNoun
abjeção	abjection	None
abjeção	baseness	noun
abjecção	abjection	None
abjecção	baseness	noun
abjuração	abjuration	None
abjuração	abjuration	noun
abjuração	apostasy	noun
abjuração	recantation	noun
ablação	ablation	None
ablação	ablation	noun
ablação	excision	noun
ablativo	ablative	None
ablativo	ablative	noun
ablução	ablution	None
ablução	ablution	noun
ablução	washing	noun
ablução	wash	noun
abluente	abluent	properNoun
abnegação	abnegation	None
abnegação	abnegation	noun
abnegação	austerity	noun
abnegação	self-denial	noun
abnegado	selfless	None
abnegado	self-sacrificing	adjective
abóbada	arched roof	noun
abóbada	cope	noun
abóbada	dome	None
abóbada	dome	noun
abóbada	vault	noun
abocamento	ability	properNoun
abolição	abolishing	noun
abolição	abolishment	noun
abolição	abolition	None
abolição	abolition	noun
abolição	abrogation	noun
abolição	annulment	noun
abolição	rescission	noun
abolição	suppression	noun
abolicionismo	abolitionism	None
abolicionismo	abolitionism	noun
abolicionista	abolitionist	None
abolicionista	emancipationist	noun
abolir	abolish	None
abolir	abolish	verb
abolir	abrogate	verb
abolir	annul	verb
abolir	do away	verb
abolir	nullify	verb
abolir	rescind	verb
abolir	rid	verb
abolir	stop	verb
abolível	abolish	properNoun
abominação	abomination	None
abominação	abomination	noun
abominável	abominable	adjective
abominável	abominable	None
abominável	accursed	adjective
abominável	accurst	adjective
abominável	atrocious	adjective
abominável	foul	adjective
abominável	hateful	adjective
abominável	heinous	adjective
abominável	infamous	adjective
abominavelmente	abhorrently	adverb
abominavelmente	abominably	None
abominavelmente	damnably	adverb
abominavelmente	foully	adverb
abominável	nefarious	adjective
abominável	odious	adjective
abonador	abonator	None
abonador	guarantee	noun
abonador	guarantor	noun
abonador	sponsor	noun
abonador	voucher	noun
abonador	warrantor	noun
abonar	abandon	None
abonar	accredit	verb
abonar	guarantee	verb
abonável	awful	properNoun
abono	allowance	None
abono	allowance	noun
abordador	approach	properNoun
abordagem	approach	properNoun
abordar	accost	verb
abordar	address	None
abordar	approach	verb
abordar	board	verb
abordar	broach	verb
abordar	grapple	verb
abordável	approachable	properNoun
abordavelmente	abhoring	properNoun
aborrecido	annoyed	adjective
aborrecido	bored	None
aborrecido	boring	adjective
aborrecido	bothersome	adjective
aborrecido	disgusted	adjective
aborrecido	dreary	adjective
aborrecido	dull	adjective
aborrecido	grouchy	adjective
aborrecido	pesky	adjective
aborrecido	tedious	adjective
aborrecido	tiresome	adjective
aborrecido	vexed	adjective
aborrecido	worried	adjective
aborrecimento	annoyance	None
aborrecimento	annoyance	noun
aborrecimento	boredom	noun
aborrecimento	bore	noun
aborrecimento	botheration	noun
aborrecimento	bother	noun
aborrecimento	caliber	noun
aborrecimento	ennui	noun
aborrecimento	nuisance	noun
aborrecimento	trouble	noun
aborrecimento	unpleasantness	noun
aborrecimento	vexation	noun
aborrecimento	weariness	noun
abortar	abort	None
abortar	abort	verb
abortar	miscarry	verb
abortar	slip	verb
abortivo	abortive	adjective
abortivo	abortive	None
aborto	abortion	None
aborto	abortion	noun
aborto	freak	noun
aborto	monster	noun
Abós	Plots	properNoun
Abou	Abou	properNoun
Aboujaoude	Aboujoude	properNoun
Abraam	Abraham	properNoun
abracadabrante	abracadabrastic	properNoun
abraçadeira	clamp	properNoun
abraçador	embracer	properNoun
abraçar	clasp	verb
abraçar	cling	verb
abraçar	cuddle	verb
abraçar	embrace	verb
abraçar	enfold	verb
abraçar	enlace	verb
abraçar	fold	verb
abraçar	hug	None
abraçar	hug	verb
abraçar	neck	verb
abraçar	nestle	verb
abraçar	squeeze	verb
abraçar	wind	verb
Abraham	Abraham	properNoun
Abrahams	Abrahams	properNoun
Abrahão	Abraham	properNoun
Abramo	Hug	properNoun
Abrams	Abrams	properNoun
Abran	Abran	properNoun
abrandado	decelerate	verb
abrandado	ease	verb
abrandado	mitigate	verb
abrandado	moderate	verb
abrandado	reduce	verb
abrandado	relax	verb
abrandado	relent	verb
abrandado	relieve	verb
abrandado	slacken	verb
abrandado	slake	verb
abrandado	soften	verb
abrandado	soothe	verb
abrandado	sort	None
abrandar	decelerate	verb
abrandar	ease	verb
abrandar	mitigate	verb
abrandar	moderate	verb
abrandar	reduce	verb
abrandar	relax	verb
abrandar	relent	verb
abrandar	relieve	verb
abrandar	slacken	verb
abrandar	slake	verb
